video_id,is_header_clip,n_confirmed_events,detected_any
Non_Header_h10,False,0,False
Non_Header_h100,False,0,False
Non_Header_h101,False,0,False
Non_Header_h102,False,3,True
Non_Header_h11,False,0,False
Non_Header_h12,False,0,False
Non_Header_h13,False,0,False
Non_Header_h14,False,0,False
Non_Header_h15,False,0,False
Non_Header_h16,False,0,False
Non_Header_h17,False,0,False
Non_Header_h18,False,0,False
Non_Header_h19,False,0,False
Non_Header_h2,False,0,False
Non_Header_h20,False,1,True
Non_Header_h21,False,0,False
Non_Header_h22,False,0,False
Non_Header_h23,False,0,False
Non_Header_h24,False,0,False
Non_Header_h25,False,0,False
Non_Header_h26,False,0,False
Non_Header_h27,False,0,False
Non_Header_h28,False,0,False
Non_Header_h29,False,0,False
Non_Header_h3,False,1,True
Non_Header_h30,False,0,False
Non_Header_h31,False,0,False
Non_Header_h32,False,0,False
Non_Header_h33,False,0,False
Non_Header_h34,False,0,False
Non_Header_h35,False,0,False
Non_Header_h36,False,0,False
Non_Header_h37,False,1,True
Non_Header_h38,False,0,False
Non_Header_h39,False,0,False
Non_Header_h4,False,0,False
Non_Header_h40,False,0,False
Non_Header_h41,False,0,False
Non_Header_h42,False,0,False
Non_Header_h43,False,0,False
Non_Header_h44,False,0,False
Non_Header_h45,False,0,False
Non_Header_h46,False,0,False
Non_Header_h47,False,2,True
Non_Header_h48,False,0,False
Non_Header_h49,False,0,False
Non_Header_h5,False,1,True
Non_Header_h50,False,0,False
Non_Header_h51,False,0,False
Non_Header_h52,False,0,False
Non_Header_h53,False,1,True
Non_Header_h54,False,0,False
Non_Header_h55,False,0,False
Non_Header_h56,False,0,False
Non_Header_h57,False,1,True
Non_Header_h58,False,0,False
Non_Header_h59,False,1,True
Non_Header_h6,False,1,True
Non_Header_h60,False,0,False
Non_Header_h61,False,0,False
Non_Header_h62,False,0,False
Non_Header_h63,False,0,False
Non_Header_h64,False,0,False
Non_Header_h65,False,0,False
Non_Header_h66,False,0,False
Non_Header_h67,False,0,False
Non_Header_h68,False,0,False
Non_Header_h69,False,0,False
Non_Header_h7,False,1,True
Non_Header_h70,False,2,True
Non_Header_h71,False,2,True
Non_Header_h72,False,0,False
Non_Header_h73,False,0,False
Non_Header_h74,False,0,False
Non_Header_h75,False,0,False
Non_Header_h76,False,0,False
Non_Header_h77,False,0,False
Non_Header_h78,False,0,False
Non_Header_h79,False,0,False
Non_Header_h8,False,0,False
Non_Header_h80,False,0,False
Non_Header_h81,False,0,False
Non_Header_h82,False,0,False
Non_Header_h83,False,0,False
Non_Header_h84,False,0,False
Non_Header_h85,False,0,False
Non_Header_h86,False,0,False
Non_Header_h87,False,0,False
Non_Header_h88,False,0,False
Non_Header_h89,False,0,False
Non_Header_h9,False,0,False
Non_Header_h90,False,0,False
Non_Header_h91,False,0,False
Non_Header_h92,False,0,False
Non_Header_h93,False,0,False
Non_Header_h94,False,0,False
Non_Header_h95,False,0,False
Non_Header_h96,False,0,False
Non_Header_h97,False,0,False
Non_Header_h98,False,0,False
Non_Header_h99,False,0,False
